Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RHPN1-AS1,4.900870918872342,0.001969851623551031,0.046424788598605674,1.1662823788368828,0.24350029522547523,0.9099746600716642
THEM6,472.8028950553603,0.0031491225320783318,0.046038046032266584,1.2137740052157204,0.2248340353877767,0.8936339861899096
BAALC-AS2,0.3702924192713824,0.00020084781962048475,0.050660992628775985,0.3409040334545494,0.7331758282574703,0.9995925663468931
C8orf58,172.92654478034322,0.0013087495937256764,0.043256123327475034,0.41508010525089395,0.678083262896545,0.9995925663468931
RBIS,1049.1822463484439,-0.0019742304275817977,0.04141494336526685,-0.6091133209710413,0.5424493285842141,0.9995925663468931
LINC00588,0.3584793780421493,-0.00024319962449458472,0.03622592594512372,-0.46800081724107134,0.639784005280595,0.9995925663468931
MROH6,103.2874638323782,0.0012921888583286678,0.044023412076050566,0.5212119594492091,0.6022191238355863,0.9995925663468931
C8orf74,0.0,,,,,
LINC00589,9.543488435155487,1.8879744738573732,1.1111678084885697,3.1396385110777856,,0.09839510611134077
C8orf76,616.6131666783302,0.00023042808578833124,0.0412196616033889,0.04377647920573361,0.9650825759810725,0.9995925663468931
ZNF252P-AS1,12.656357273407515,1.3251498185023205e-05,0.042855495844645514,0.0052098431072203555,0.9958431654250085,0.9995925663468931
C8orf79,16.043351788970565,0.0014214565228280053,0.0460000469199831,0.8381313514447664,0.4019569367459911,0.9943719972615858
NUGGC,449.2330533087871,0.0008758718479419538,0.04787327799697559,0.7915599951625204,0.4286172808855324,0.9995925663468931
TRIQK,139.92181396633956,0.002118784852174742,0.04563479644256254,0.9480918446119851,0.3430826996653158,0.9699238242124408
SBSPON,21.962781249049076,0.0016863511564515399,0.04567478345667484,0.8648540033178712,0.38711892622886346,0.9882130560470853
AARD,9.224040016799306,0.0017302300013690925,0.05276017196830155,1.5895665805879193,0.11193253508860802,0.7281485929154815
C8orf86,0.10475873328207878,-0.00024872635137265336,0.02724145196848332,-0.3203034157173203,0.7487383340846389,0.9995925663468931
ARHGEF39,353.2316942377682,-0.006899211245154601,0.04148892707815391,-1.7760935242762,0.07571750341632769,0.644216721371329
C9orf102,109.44845198583448,-0.00017057229566662057,0.04259621579279711,-0.10738838130684006,0.9144808715771345,0.9995925663468931
C9orf103,157.32126711962692,0.0017383523793718897,0.044294475506277534,0.6656919846589797,0.505607997803915,0.9995925663468931
C9orf106,0.39496000258654945,0.00011593290530546055,0.04616128188392803,0.14030766104063697,0.8884169115676901,0.9995925663468931
FAM225A,51.038351428980526,0.0011538290018825047,0.04595526144421504,0.7230057265327616,0.4696763659925428,0.9995925663468931
FAM225B,104.34901980280824,-0.0010468690388501223,0.040528822696202435,-0.6680569767591211,0.5040972233344079,0.9995925663468931
SPOUT1,1160.9107211811606,-0.011308024159734198,0.044276175169035155,-2.229347427511817,0.025790797290706553,0.4086340542925081
C9orf116,21.302649987257958,0.0036427618434528987,0.0546405123896225,2.4447539475359195,,0.3090317754066624
CFAP157,5.819890846284302,0.0009969212299404864,0.044200280901702034,0.5351882942205833,0.5925196599165273,0.9995925663468931
SWI5,479.60856198149423,0.0005244144661328005,0.043436345117947514,0.2317602094740229,0.8167242638634274,0.9995925663468931
